Rebalance_Date,Next_Rebalance_Date,Feature_Universe,DEA_Universe,Candidate_Universe,Selected_Universe,Optimized_Holdings
2021-02-01,2021-03-01,376,195,44,23,23
2021-03-01,2021-03-31,376,195,45,24,24
2021-03-31,2021-04-30,376,195,45,24,24
2021-04-30,2021-06-01,376,195,46,25,25
2021-06-01,2021-06-30,376,195,45,24,24
2021-06-30,2021-08-02,376,195,48,27,27
2021-08-02,2021-08-31,376,195,47,25,25
2021-08-31,2021-09-30,376,195,46,24,24
2021-09-30,2021-11-01,376,195,46,24,24
2021-11-01,2021-11-30,376,195,47,25,25
2021-11-30,2021-12-31,376,195,47,25,25
2021-12-31,2022-01-31,376,195,48,26,26
2022-01-31,2022-02-28,376,195,47,25,25
2022-02-28,2022-03-31,376,195,47,25,25
2022-03-31,2022-05-02,376,195,45,23,23
2022-05-02,2022-05-31,376,195,46,24,24
2022-05-31,2022-06-30,376,195,45,24,24
2022-06-30,2022-08-01,376,195,46,25,25
2022-08-01,2022-08-31,376,195,46,25,25
2022-08-31,2022-09-30,376,195,46,24,24
2022-09-30,2022-10-31,376,195,47,25,25
2022-10-31,2022-11-30,376,195,45,24,24
2022-11-30,2023-01-03,376,195,43,24,24
2023-01-03,2023-01-31,376,195,45,24,24
2023-01-31,2023-02-28,376,195,41,23,23
2023-02-28,2023-03-31,376,195,43,24,24
2023-03-31,2023-05-01,376,195,40,23,23
2023-05-01,2023-05-31,376,195,40,25,25
2023-05-31,2023-06-30,376,195,41,26,26
2023-06-30,2023-07-31,376,195,39,24,24
2023-07-31,2023-08-31,376,195,38,23,23
2023-08-31,2023-10-02,376,195,38,23,23
2023-10-02,2023-10-31,376,195,38,23,23
2023-10-31,2023-11-30,376,195,38,23,23
2023-11-30,2024-01-02,376,195,39,22,22
2024-01-02,2024-01-31,376,195,40,23,23
2024-01-31,2024-02-29,376,195,41,23,23
2024-02-29,2024-04-01,376,195,40,23,23
2024-04-01,2024-04-30,376,195,40,23,23
2024-04-30,2024-05-31,376,195,39,23,23
2024-05-31,2024-07-01,376,195,40,23,23
2024-07-01,2024-07-31,376,195,40,23,23
2024-07-31,2024-09-03,376,195,40,23,23
2024-09-03,2024-09-30,376,195,39,23,23
2024-09-30,2024-10-31,376,195,39,22,22
2024-10-31,2024-12-02,376,195,38,22,22
2024-12-02,2024-12-31,376,195,39,22,22
2024-12-31,2025-01-31,376,195,39,23,23
2025-01-31,2025-02-28,376,195,43,24,24
2025-02-28,2025-03-31,376,195,41,26,26
2025-03-31,2025-04-30,376,195,43,25,25
2025-04-30,2025-06-02,376,195,39,25,25
2025-06-02,2025-06-30,376,195,37,23,23
2025-06-30,2025-07-31,376,195,38,23,23
2025-07-31,2025-09-02,376,195,37,23,23
2025-09-02,2025-09-30,376,195,32,20,20
2025-09-30,2025-10-31,376,195,32,20,20
2025-10-31,2025-12-01,376,195,33,21,21
2025-12-01,2025-12-31,376,195,34,22,22
2025-12-31,2026-02-02,376,195,34,21,21
2026-02-02,2026-03-02,376,195,35,22,22
2026-03-02,2026-03-31,376,195,34,22,22
2026-03-31,2026-04-30,376,195,36,24,24
2026-04-30,2026-05-20,376,195,36,24,24
