ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),Div_Score (產出),FinBERT_score
EWC,3.0,2026-04-15,17.69,1.42,15.45,-14.12,0.5,2.11,5.48,,0.015652
GNR,3.0,2026-04-15,8.66,2.31,17.95,-24.49,0.4,0.3,4.88,,-0.054771
DSI,3.0,2026-04-15,18.51,1.0,15.98,-20.82,0.25,0.13,5.34,3.8406,0.072797
XME,3.0,2026-04-15,30.01,0.35,29.1,-30.63,0.35,2.44,5.27,1.3657,0.236622
ILF,3.0,2026-04-15,15.09,3.78,21.21,-29.71,0.47,1.69,4.42,,0.289772
LVHI,3.0,2026-04-15,14.49,3.78,11.36,-11.99,0.4,0.39,4.9,,0.081713
NLR,3.0,2026-04-15,36.45,2.4,33.36,-30.81,0.56,0.25,4.87,,0.191589
CGDG,2.5,2026-04-15,17.34,1.95,12.21,-10.91,0.47,0.41,5.06,,0.04444
BKLC,3.0,2026-04-15,20.17,1.11,15.14,-19.3,,0.14,5.43,5.2994,0.049265
FDN,3.0,2026-04-15,20.53,0.0,21.86,-24.98,0.49,0.51,5.44,2.5765,0.053051
REET,3.0,2026-04-15,5.35,3.65,15.66,-20.54,0.14,0.96,4.77,0.8044,-0.082016
DISV,3.0,2026-04-15,19.68,2.6,15.54,-14.24,0.42,0.31,4.87,,0.431177
FEZ,3.0,2026-04-15,13.61,2.85,17.77,-16.07,0.29,1.64,4.51,,-0.135248
UPRO,3.0,2026-04-15,43.94,1.04,44.43,-49.09,0.89,5.53,,,-0.135625
OMFL,3.0,2026-04-15,10.42,0.86,14.89,-15.7,0.29,0.47,4.74,6.5876,0.054048
RSPT,3.0,2026-04-15,22.1,0.38,22.5,-26.71,0.4,0.49,5.64,1.0,0.040146
IYR,3.0,2026-04-15,5.81,2.38,16.99,-18.46,0.38,6.28,4.87,0.8478,-0.053731
KRE,3.0,2026-04-15,16.84,2.42,30.16,-29.16,0.35,16.12,3.8,1.0,-0.097917
SLYG,3.0,2026-04-15,12.72,0.8,20.11,-27.87,0.15,0.15,4.72,6.3452,0.22758
SLYV,3.0,2026-04-15,9.7,2.01,21.61,-29.55,0.15,0.23,4.68,7.3475,0.266261
VTHR,3.0,2026-04-15,18.52,1.16,15.34,-19.6,0.06,0.03,4.71,5.6529,0.344252
EMLP,3.0,2026-04-15,17.04,2.75,13.05,-12.17,0.95,0.24,3.93,1.8579,0.119192
TSLL,3.0,2026-04-15,1.93,7.98,110.21,-83.09,0.83,74.6,4.93,,-0.290649
IVLU,3.0,2026-04-15,18.25,3.56,15.68,-15.48,0.31,0.53,4.3,,-0.035279
HELO,2.5,2026-04-15,12.04,0.66,8.14,-11.02,0.5,0.28,4.13,4.1841,0.084847
IFRA,3.0,2026-04-15,16.97,1.7,16.47,-20.77,0.3,0.28,4.14,2.9682,0.137682
NVDL,3.0,2026-04-15,131.65,0.0,92.29,-67.55,1.05,13.55,4.45,,0.156593
MAGS,3.0,2026-04-15,36.88,1.69,26.31,-30.46,0.29,1.5,4.75,,-0.142343
IMTM,3.0,2026-04-15,16.62,2.3,16.79,-12.85,0.3,0.36,4.0,,-0.068737
DON,3.0,2026-04-15,9.91,2.41,16.4,-22.09,0.38,0.15,3.87,6.8074,0.01598
TECL,3.0,2026-04-15,49.46,9.64,69.31,-66.7,0.87,1.93,7.29,0.8,0.262287
TDIV,3.0,2026-04-15,23.37,1.5,19.88,-23.28,0.5,0.11,4.66,0.9856,0.197663
DEM,3.0,2026-04-15,10.22,4.32,14.86,-17.36,0.63,0.3,4.03,,0.276621
IXJ,3.0,2026-04-15,3.14,1.45,13.53,-18.72,0.4,0.19,3.67,0.8881,-0.022001
EUFN,3.0,2026-04-15,25.48,3.81,19.0,-15.95,0.49,0.97,3.64,,-0.177957
QTUM,3.0,2026-04-15,39.37,1.1,26.29,-25.6,0.4,0.22,5.7,1.3193,0.137446
USRT,3.0,2026-04-15,7.99,2.89,17.25,-19.74,0.08,0.3,4.05,0.8,-0.053954
IWX,3.0,2026-04-15,13.45,1.66,12.3,-13.98,0.2,0.19,3.49,8.1037,0.346543
AIA,3.0,2026-04-15,24.79,1.46,23.9,-21.64,0.5,0.13,5.4,,0.144031
SUSA,3.0,2026-04-15,17.0,0.97,15.06,-19.73,0.25,0.17,4.29,4.4723,0.376262
XT,3.0,2026-04-15,11.64,8.13,19.33,-22.09,0.46,0.12,4.07,3.4495,0.012351
VIOO,3.0,2026-04-15,11.64,1.31,20.72,-28.98,0.07,0.12,3.88,7.3206,0.057685
VNQI,3.0,2026-04-15,4.3,4.87,15.15,-20.53,0.12,0.28,3.49,,0.082488
IDMO,3.0,2026-04-15,21.75,2.06,16.88,-12.67,0.25,0.18,3.77,,-0.06817
AAXJ,3.0,2026-04-15,15.75,1.76,18.56,-20.89,0.72,0.62,4.02,,0.088235
EWU,3.0,2026-04-15,12.87,3.64,14.59,-12.63,0.5,1.8,3.45,,-0.212169
SMLF,3.0,2026-04-15,16.31,1.17,19.97,-26.8,0.15,0.13,3.93,6.993,0.249427
XOP,3.0,2026-04-15,7.42,1.79,27.68,-36.54,0.35,3.66,3.37,1.0,-0.129011
FLJP,3.0,2026-04-15,14.09,5.07,18.58,-15.63,0.09,0.7,3.79,,-0.085129
DFGR,3.0,2026-04-15,4.67,4.23,15.35,-19.87,0.22,0.35,3.52,0.8043,-0.280516
FV,3.0,2026-04-15,12.89,0.64,19.3,-23.16,0.89,0.14,3.78,,-0.224751
IYF,3.0,2026-04-15,19.13,1.62,17.1,-16.87,0.38,0.28,3.5,0.8456,0.093166
GCOW,3.0,2026-04-15,9.99,4.42,12.7,-12.35,0.6,0.29,3.35,,0.103645
IMCG,3.0,2026-04-15,14.43,0.8,17.25,-22.21,0.06,0.14,3.75,4.8426,-0.013262
EEMV,3.0,2026-04-15,7.59,2.65,11.24,-14.5,0.25,0.4,3.7,,0.0
IVOO,3.0,2026-04-15,12.79,1.33,18.16,-24.77,0.07,0.08,3.61,6.592,-0.128538
JTEK,2.5,2026-04-15,25.16,0.0,27.47,-30.61,0.65,0.17,4.26,2.1556,0.166494
INTF,3.0,2026-04-15,15.45,2.78,15.26,-13.64,0.16,0.19,3.46,,-0.062765
SPHD,3.0,2026-04-15,4.97,4.31,13.03,-14.26,0.3,0.7,3.23,,0.186328
ACWV,3.0,2026-04-15,6.94,2.08,9.29,-7.56,0.2,0.19,3.28,,0.090567
FNDC,3.0,2026-04-15,13.92,3.78,14.73,-14.36,0.39,0.2,3.07,6.6181,-0.054053
CALF,3.0,2026-04-15,6.69,1.43,21.09,-34.91,0.59,1.45,3.51,5.3135,0.395756
MLPX,3.0,2026-04-15,20.51,4.06,17.0,-17.68,0.45,0.28,3.54,0.8,0.119442
IHI,3.0,2026-04-15,-0.65,0.42,16.62,-23.03,0.38,1.08,2.99,0.8,-0.003955
BOTZ,3.0,2026-04-15,13.66,0.73,24.14,-29.02,0.68,0.85,3.78,,0.138136
VAW,3.0,2026-04-15,9.84,1.41,17.65,-23.88,0.09,0.06,3.06,0.8,-0.096045
PTLC,3.0,2026-04-15,12.25,1.13,12.21,-15.17,0.6,0.2,3.36,5.2219,-0.002709
XYLD,3.0,2026-04-15,-0.62,10.98,10.77,-17.96,0.6,0.64,3.17,4.014,0.14536
NFRA,3.0,2026-04-15,7.08,5.74,11.93,-12.13,0.47,0.09,3.06,,0.015793
USMC,3.0,2026-04-15,19.6,0.84,14.9,-19.31,0.12,0.1,3.5,4.3932,-0.135049
LRGF,3.0,2026-04-15,18.91,1.23,15.33,-19.67,0.08,0.15,3.5,5.123,0.389757
USCA,3.0,2026-04-15,18.09,1.24,15.02,-19.36,0.07,0.05,3.25,6.068,0.0
IYH,3.0,2026-04-15,3.43,1.31,13.96,-18.7,0.38,0.41,3.12,0.8,0.145234
GSUS,3.0,2026-04-15,19.43,1.14,15.02,-19.31,0.07,0.11,3.16,4.9776,-0.062339
FRDM,3.0,2026-04-15,27.66,2.09,20.42,-17.22,0.49,0.17,3.54,,0.052676
FHLC,3.0,2026-04-15,4.03,1.44,13.84,-17.78,0.084,0.15,2.99,0.8,-0.070112
DCOR,2.6,2026-04-15,18.17,1.04,15.4,-19.58,0.14,0.1,3.13,6.8259,0.0
SMMD,3.0,2026-04-15,14.71,1.22,19.31,-26.01,0.15,0.14,3.39,,0.26349
ILCG,3.0,2026-04-15,24.0,0.5,19.46,-23.2,0.04,0.08,3.25,2.5341,0.0
IXC,3.0,2026-04-15,10.82,2.68,19.58,-22.5,0.4,0.64,2.52,,-0.037214
REMX,3.0,2026-04-15,6.01,1.48,38.7,-63.05,0.58,0.4,3.01,,0.162497
PXF,3.0,2026-04-15,18.1,3.48,14.88,-14.8,0.43,0.08,2.94,,0.018085
QTEC,3.0,2026-04-15,23.45,0.0,25.87,-29.01,0.55,0.17,3.66,1.1777,0.106233
PRFZ,3.0,2026-04-15,14.41,0.95,20.52,-27.01,0.34,0.14,2.72,6.9735,0.234248
IYY,3.0,2026-04-15,18.88,1.01,15.12,-19.27,0.2,0.04,3.0,5.3735,-0.14001
SQQQ,3.0,2026-04-15,-56.69,5.78,58.77,-92.41,0.95,16.06,2.23,,-0.219426
NUGO,3.0,2026-04-15,25.6,0.0,21.08,-25.12,0.56,0.11,2.85,2.199,0.366652
WTV,3.0,2026-04-15,17.95,1.79,15.46,-19.12,0.12,0.08,3.01,8.1037,0.336864
MDYG,3.0,2026-04-15,14.46,0.7,18.66,-25.77,0.15,0.14,2.83,5.0839,-0.017944
CQQQ,3.0,2026-04-15,2.99,2.47,34.23,-37.57,0.65,0.55,3.16,,0.01648
AVSC,3.0,2026-04-15,14.81,1.02,21.73,-28.84,0.25,0.1,2.79,7.1276,0.885101
JMEE,3.0,2026-04-15,14.14,1.09,18.25,-26.1,0.24,0.1,2.69,6.7843,0.0
KOMP,3.0,2026-04-15,15.07,1.8,22.87,-25.38,0.2,0.11,2.97,3.8521,0.051845
FLIN,3.0,2026-04-15,8.15,0.67,14.44,-23.76,0.19,0.38,2.53,,0.147563
FUTY,3.0,2026-04-15,10.32,2.5,16.03,-19.87,0.084,0.25,2.35,0.8,0.01655
ITB,3.0,2026-04-15,10.45,1.25,27.52,-33.88,0.38,2.46,2.56,1.3095,-0.142204
XSMO,3.0,2026-04-15,21.91,0.61,20.96,-25.19,0.36,0.21,2.89,6.502,0.294846
MDYV,3.0,2026-04-15,10.84,1.87,18.19,-23.29,0.15,0.19,2.57,6.4309,-0.015766
IPAC,3.0,2026-04-15,12.66,4.14,16.93,-17.18,0.09,0.12,2.59,,0.109613
SNPE,3.0,2026-04-15,19.19,1.05,15.17,-19.64,0.1,0.25,2.75,4.0465,0.210344
NULG,3.0,2026-04-15,21.57,0.12,19.04,-22.4,0.26,0.07,3.39,2.5229,-0.084132
SECT,3.0,2026-04-15,16.76,0.71,16.74,-21.74,0.69,0.1,2.76,,0.146525
DIVI,3.0,2026-04-15,13.19,3.9,15.0,-14.7,0.09,0.18,2.52,,-0.040302
ARTY,3.0,2026-04-15,22.83,0.0,27.25,-32.44,0.47,0.26,3.69,1.1506,0.147471
EQWL,3.0,2026-04-15,14.98,1.71,13.11,-15.39,0.25,0.07,2.6,7.1378,0.070661
TSPA,3.0,2026-04-15,20.96,0.65,15.0,-19.04,0.34,0.14,3.43,5.6657,0.449369
USCL,2.8,2026-04-15,17.18,1.23,15.09,-19.23,0.08,0.07,3.0,5.9952,0.0
HDEF,3.0,2026-04-15,11.93,3.66,13.5,-11.42,0.09,0.2,2.23,,0.015043
APUE,2.9,2026-04-15,20.59,0.87,14.83,-19.07,0.31,0.15,2.54,5.0403,0.0
FSMD,3.0,2026-04-15,14.24,1.37,17.49,-22.7,0.15,0.15,2.43,6.7069,-0.014835
ESML,3.0,2026-04-15,14.01,1.08,19.79,-27.17,0.17,0.15,2.41,6.9493,0.247735
URNM,3.0,2026-04-15,30.15,2.81,43.15,-52.13,0.75,0.66,2.21,,0.355283
IHDG,3.0,2026-04-15,8.3,1.97,13.91,-18.88,0.58,0.28,2.21,,-0.007131
EPI,3.0,2026-04-15,10.51,0.0,15.4,-22.1,0.84,0.89,2.17,,0.044227
ICLN,3.0,2026-04-15,-0.3,1.47,24.87,-46.93,0.39,3.29,3.21,,0.095317
FNCL,3.0,2026-04-15,16.91,1.75,17.19,-17.65,0.084,0.12,2.17,0.827,0.095779
SCHY,3.0,2026-04-15,10.81,3.53,12.5,-13.64,0.08,0.28,2.27,8.5034,0.01018
SPUS,3.0,2026-04-15,21.19,0.63,17.54,-22.97,0.45,0.27,2.72,,-0.135308
SKYY,3.0,2026-04-15,18.58,0.0,25.84,-31.8,0.6,0.2,3.31,1.3461,0.094955
EWW,3.0,2026-04-15,9.36,3.21,23.82,-33.84,0.5,2.16,1.97,,0.121013
ACIO,3.0,2026-04-15,13.3,0.42,9.99,-12.24,0.79,0.13,2.38,4.4053,0.882314
PABU,3.0,2026-04-15,16.32,1.04,16.21,-21.24,0.1,0.07,2.52,3.2653,0.546681
SPGP,3.0,2026-04-15,10.26,0.98,17.52,-23.52,0.36,0.24,2.19,5.6243,0.222902
BSVO,3.0,2026-04-15,15.15,1.4,22.04,-29.8,0.45,0.19,2.27,5.3191,0.949963
EPP,3.0,2026-04-15,8.31,3.59,17.16,-20.99,0.47,0.36,2.11,,0.125867
QGRW,3.0,2026-04-15,27.82,0.09,21.19,-24.5,0.28,0.16,2.65,2.4324,0.19199
MLPA,3.0,2026-04-15,7.57,7.14,14.48,-14.93,0.77,0.16,2.1,0.851,0.113406
QGRO,3.0,2026-04-15,20.6,0.21,18.22,-23.89,0.29,0.08,2.21,4.5045,0.020624
JIVE,2.6,2026-04-15,27.71,2.14,15.07,-13.79,0.55,0.06,2.79,,0.0
GUSA,3.0,2026-04-15,18.91,1.11,14.93,-19.85,0.1,0.0,2.37,5.698,0.0
BGIG,2.6,2026-04-15,13.53,1.85,12.11,-14.11,0.45,0.02,2.12,7.1736,0.0
FTHI,3.0,2026-04-15,5.14,8.99,11.87,-18.15,0.76,0.32,2.26,,0.050585
FWD,3.0,2026-04-15,33.84,0.11,24.93,-29.02,0.65,0.07,2.89,3.3058,-0.187187
OIH,3.0,2026-04-15,12.09,1.2,31.25,-45.7,0.35,0.51,2.37,0.8,0.014521
COWG,3.0,2026-04-15,19.76,0.35,19.54,-23.61,0.49,0.32,2.32,3.2489,-0.009754
FAS,3.0,2026-04-15,29.02,11.78,48.47,-43.26,0.88,0.75,2.08,0.8313,0.151809
JMOM,3.0,2026-04-15,22.72,0.88,16.44,-19.66,0.12,0.07,2.4,4.5809,0.207163
PHO,3.0,2026-04-15,10.26,0.58,16.34,-19.42,0.59,0.07,1.98,2.2272,-0.0759
ICF,3.0,2026-04-15,6.14,2.67,17.02,-18.97,0.32,0.13,2.05,0.8,-0.029916
DES,3.0,2026-04-15,9.96,2.54,19.5,-25.66,0.38,0.14,2.08,6.592,0.291484
QDF,3.0,2026-04-15,14.95,1.69,14.23,-18.79,0.39,0.04,2.29,3.8573,0.253613
CGIE,2.5,2026-04-15,15.88,1.2,15.35,-14.06,0.54,0.21,2.24,,0.0
BBMC,3.0,2026-04-15,15.71,1.25,18.71,-24.76,0.07,0.04,2.1,6.7935,-0.018813
FIDU,3.0,2026-04-15,21.27,1.04,17.11,-21.19,0.084,0.08,2.1,1.0,0.188617
IWL,3.0,2026-04-15,20.51,0.96,15.35,-19.36,0.15,0.07,2.23,3.5858,-0.233724
IYJ,3.0,2026-04-15,16.49,0.83,16.28,-20.05,0.38,0.07,1.78,1.8339,0.023786
TCHP,3.0,2026-04-15,26.16,0.0,19.95,-22.92,0.57,0.12,2.24,2.8592,-0.009382
DFSU,3.0,2026-04-15,18.05,0.94,15.76,-20.33,0.15,0.1,2.18,6.1614,0.0
IYG,3.0,2026-04-15,19.07,1.18,18.06,-18.76,0.38,0.09,1.9,0.8,0.236065
NULV,3.0,2026-04-15,11.35,1.62,12.89,-16.77,0.26,0.13,2.66,7.2046,0.397502
XSOE,3.0,2026-04-15,16.3,1.65,17.47,-20.29,0.32,0.29,2.24,,0.042847
ARKQ,3.0,2026-04-15,37.61,0.27,30.54,-30.76,0.75,0.15,2.36,2.7267,0.060674
EWP,3.0,2026-04-15,26.77,2.27,18.87,-13.93,0.5,0.44,1.69,,-0.119594
TILT,3.0,2026-04-15,17.59,1.21,15.53,-20.34,0.25,0.01,2.2,6.605,0.362174
PICK,3.0,2026-04-15,13.25,2.61,25.47,-34.45,0.39,0.34,2.18,,0.291925
PXH,3.0,2026-04-15,14.9,3.81,17.6,-18.97,0.47,0.24,2.02,,0.220363
TMFC,3.0,2026-04-15,26.23,0.16,17.61,-20.37,0.5,0.1,2.11,3.0569,0.06411
PSC,3.0,2026-04-15,15.24,0.67,20.08,-23.78,0.38,0.07,2.14,6.8306,0.237957
USD,3.0,2026-04-15,116.71,0.5,76.95,-64.53,0.95,1.27,3.05,,-0.01065
XSD,3.0,2026-04-15,25.84,0.25,37.17,-41.37,0.35,0.06,3.34,1.0,0.178439
FIW,3.0,2026-04-15,9.66,0.8,16.5,-18.62,0.51,0.04,1.76,2.4343,0.105105
FLQL,3.0,2026-04-15,20.45,1.16,15.41,-19.51,0.15,0.07,2.02,4.8852,0.068941
DSTL,3.0,2026-04-15,10.81,1.29,13.63,-17.58,0.39,0.12,1.85,,0.024132
HEDJ,3.0,2026-04-15,9.87,1.67,15.74,-15.93,0.58,0.12,1.84,,-0.142357
JPEF,2.7,2026-04-15,16.85,0.73,15.22,-18.1,0.44,0.09,1.96,4.4297,0.0
LIT,3.0,2026-04-15,8.37,0.43,31.04,-53.78,0.75,0.38,2.22,,0.141782
FTXL,3.0,2026-04-15,43.28,0.23,35.52,-41.77,0.6,0.11,2.51,0.8,0.213046
RWR,3.0,2026-04-15,6.81,3.69,17.23,-20.51,0.25,0.29,1.8,0.8,-0.085705
DGS,3.0,2026-04-15,11.28,3.58,14.67,-20.29,0.58,0.2,1.83,,0.569639
REGL,3.0,2026-04-15,8.67,2.26,15.41,-18.11,0.4,0.06,1.68,,-0.002828
HACK,3.0,2026-04-15,15.29,0.08,22.34,-21.9,0.6,0.11,1.73,,0.068061
FLTW,3.0,2026-04-15,27.98,2.34,22.91,-27.52,0.19,0.1,2.77,,-0.006652
ICOW,3.0,2026-04-15,13.07,2.29,15.21,-15.89,0.65,0.24,1.85,,-0.112193
IEV,3.0,2026-04-15,12.2,2.76,15.38,-14.63,0.6,0.32,1.76,,-0.141392
TMSL,2.8,2026-04-15,17.4,0.56,18.48,-24.72,0.55,0.12,2.37,6.0643,-0.968955
USPX,3.0,2026-04-15,19.09,1.2,15.34,-19.4,0.03,0.07,1.98,4.914,0.106385
FDIS,3.0,2026-04-15,15.71,0.79,21.03,-27.73,0.084,0.09,1.8,0.8132,0.182591
IDU,3.0,2026-04-15,11.25,2.13,15.32,-18.33,0.38,0.12,1.42,,0.019441
IYT,3.0,2026-04-15,11.74,1.07,21.34,-26.76,0.38,0.54,2.36,0.8,-0.044757
PWB,3.0,2026-04-15,29.28,0.0,18.93,-22.1,0.55,0.03,2.18,3.3887,0.078302
RPV,3.0,2026-04-15,12.3,2.41,15.93,-16.01,0.35,0.23,1.82,7.4294,0.232677
RWJ,3.0,2026-04-15,13.03,1.13,22.72,-29.68,0.39,0.15,1.87,6.9686,0.297785
FCOM,3.0,2026-04-15,25.82,1.0,18.23,-21.35,0.084,0.12,1.83,0.8,0.248243
FLQM,3.0,2026-04-15,9.1,1.56,14.76,-20.22,0.3,0.12,1.54,,-0.014463
DFEV,3.0,2026-04-15,17.13,2.56,15.73,-18.78,0.43,0.14,2.01,,0.026461
GSEW,3.0,2026-04-15,13.71,1.56,14.49,-18.85,0.09,0.06,1.77,7.7399,-0.173938
XCEM,3.0,2026-04-15,18.55,3.18,16.95,-21.04,0.16,0.19,2.04,,0.0
DFAR,3.0,2026-04-15,5.57,2.98,16.87,-19.36,0.19,0.41,1.71,,0.0
EMGF,3.0,2026-04-15,16.9,2.44,17.44,-19.65,0.26,0.1,1.92,,-0.021787
ROBO,3.0,2026-04-15,12.32,0.43,21.85,-27.92,0.95,0.09,2.02,,0.143885
VIOV,3.0,2026-04-15,10.2,1.76,21.63,-29.04,0.1,0.06,1.78,7.3206,0.208446
PKW,3.0,2026-04-15,17.17,0.94,15.61,-21.27,0.62,0.05,1.61,,0.07904
RPG,3.0,2026-04-15,19.53,0.22,21.19,-24.81,0.35,0.31,2.13,5.3362,0.226657
IYE,3.0,2026-04-15,9.38,2.05,21.27,-21.45,0.38,0.65,1.61,,-0.032915
XNTK,3.0,2026-04-15,34.91,0.25,25.11,-28.14,0.35,0.02,2.22,1.2077,0.038921
QQEW,3.0,2026-04-15,9.93,0.35,17.91,-21.52,0.55,0.09,1.81,4.6083,0.059203
JEMA,3.0,2026-04-15,16.4,2.78,18.31,-20.03,0.33,0.09,1.73,,0.027693
ARKW,3.0,2026-04-15,36.61,1.95,35.35,-37.18,0.76,0.24,1.83,2.6016,0.056216
DTD,3.0,2026-04-15,13.35,1.98,12.18,-15.0,0.28,0.03,1.6,,0.19875
EWL,3.0,2026-04-15,9.56,1.74,14.64,-14.79,0.5,0.54,1.7,,-0.152458
MISL,3.0,2026-04-15,28.42,0.37,18.97,-18.37,0.6,0.11,0.8,,0.029524
PSI,3.0,2026-04-15,43.44,0.08,37.63,-41.11,0.56,0.08,2.64,0.8,0.204031
EUSA,3.0,2026-04-15,12.06,1.68,14.59,-18.81,0.09,0.06,1.74,7.4294,0.13271
IAI,3.0,2026-04-15,23.83,1.18,20.22,-23.39,0.38,0.12,1.43,,0.139503
IMCB,3.0,2026-04-15,13.4,1.38,15.31,-20.4,0.04,0.03,1.58,,-0.012017
SPGM,3.0,2026-04-15,17.15,1.93,14.42,-16.9,0.09,0.09,1.67,,0.0966
XHB,3.0,2026-04-15,16.11,0.79,26.1,-30.87,0.35,2.58,1.58,,-0.117197
ASHR,3.0,2026-04-15,4.71,2.36,24.04,-33.86,0.65,6.45,1.91,,-0.028652
HFXI,3.0,2026-04-15,15.16,4.44,14.0,-13.52,0.2,0.15,1.74,,-0.133809
INFL,3.0,2026-04-15,18.57,0.91,16.54,-16.38,0.85,0.16,1.59,,0.118147
IVOG,3.0,2026-04-15,14.55,0.62,18.81,-26.18,0.1,0.02,1.64,,-0.022325
USVM,3.0,2026-04-15,16.06,1.91,18.28,-24.77,0.29,0.04,1.6,,-0.140419
TAN,3.0,2026-04-15,-11.08,0.0,37.98,-66.8,0.7,1.02,2.29,,0.138885
IYM,3.0,2026-04-15,11.62,1.32,18.14,-24.2,0.38,0.06,1.41,,0.032574
RODM,3.0,2026-04-15,15.32,2.96,12.26,-10.59,0.29,0.13,1.54,,-0.111466
VFMO,3.0,2026-04-15,24.38,0.75,21.49,-24.74,0.13,0.03,1.84,5.8241,-0.001247
BAI,,2026-04-16,,,,,,,16.27,1.6215,0.061018
QQQI,,2026-04-16,,,,,,,12.35,2.5213,0.10023
FENI,,2026-04-16,,,,,,,9.83,,0.79994
FNGU,,2026-04-16,,,,,,,6.87,,-0.299191
FELC,,2026-04-16,,,,,,,7.64,,0.3991
AKRE,,2026-04-16,,,,,,,5.94,,-0.239094
FMDE,,2026-04-16,,,,,,,6.97,,0.528436
FELG,,2026-04-16,,,,,,,5.76,,0.21892
BLCR,,2026-04-16,,,,,,,6.04,5.144,0.885637
FESM,,2026-04-16,,,,,,,5.29,,0.492047
GRNY,,2026-04-16,,,,,,,4.46,6.2035,0.359506
EAGL,,2026-04-16,,,,,,,4.27,5.6899,0.142009
QLTY,,2026-04-16,,,,,,,4.51,4.562,0.031181
MSLC,,2026-04-16,,,,,,,4.0,6.105,0.0
IDEF,,2026-04-16,,,,,,,3.9,,0.438488
GPIX,,2026-04-16,,,,,,,4.29,3.9821,0.0159
GPIQ,,2026-04-16,,,,,,,4.58,2.2844,0.136086
FELV,,2026-04-16,,,,,,,3.04,,0.0
BDYN,,2026-04-16,,,,,,,2.94,6.135,0.0
CGGE,,2026-04-16,,,,,,,2.8,,0.0
CGMM,,2026-04-16,,,,,,,2.79,7.0175,0.897535
KLMN,,2026-04-16,,,,,,,2.32,,0.0
CGNG,,2026-04-16,,,,,,,2.36,,0.0
ILOW,,2026-04-16,,,,,,,1.77,,0.0
FEGE,,2026-04-16,,,,,,,1.93,,0.600879
CGIC,,2026-04-16,,,,,,,1.85,,0.134266
CGCV,,2026-04-16,,,,,,,1.75,7.7459,-0.139347
BAFE,,2026-04-16,,,,,,,1.65,,0.0
BDVL,,2026-04-16,,,,,,,1.72,,0.0
RSSL,,2026-04-16,,,,,,,1.49,,-0.527717
SCHV,3.0,2026-04-18,13.07,1.97,12.85,-16.22,0.04,1.88,15.54,7.6161,0.21869
JIRE,3.0,2026-04-18,12.9,2.96,15.28,-14.91,0.24,0.38,10.83,,0.150691
XLG,3.0,2026-04-18,24.2,0.7,16.91,-20.86,0.2,1.81,11.01,3.0793,0.289205
FVD,3.0,2026-04-18,6.12,2.3,11.3,-13.02,0.61,0.84,7.9,6.2775,0.248377
FBCG,3.0,2026-04-18,31.55,0.05,22.81,-27.89,0.57,0.45,6.91,2.7276,0.205433
SIL,3.0,2026-04-18,47.83,1.11,39.82,-32.91,0.65,1.28,5.22,,0.000238
RING,3.0,2026-04-18,48.04,0.78,36.9,-30.11,0.39,0.29,2.71,,0.159368
CORO,,2026-04-18,,,,,,,6.84,,0.549365
CWI,3.0,2026-04-18,14.69,2.98,14.97,-14.3,0.3,0.29,2.79,,-0.08908
SPYX,3.0,2026-04-18,20.14,0.98,15.17,-18.95,0.2,0.11,2.78,3.8685,-0.134505
FBT,3.0,2026-04-18,10.08,0.0,20.29,-20.05,0.54,0.04,2.57,1.0,0.036077
FENY,3.0,2026-04-18,9.55,2.31,21.78,-22.59,0.084,1.85,1.9,0.8,0.00528
PIEQ,,2026-04-18,,,,,,,1.39,,0.0
GARP,3.0,2026-04-20,29.72,0.0,20.5,-23.8,,0.08,2.49,2.9265,0.178848
KORU,3.0,2026-04-26,88.57,0.59,85.36,-75.03,1.32,0.18,1.89,,0.100192
SOXS,3.0,2026-04-26,-85.61,8.44,105.59,-99.69,1.0,8.61,1.83,,0.073598
TNA,3.0,2026-04-26,27.91,0.62,63.27,-66.03,1.05,15.26,1.43,,-0.275409
BIZD,3.0,2026-04-26,-3.85,13.05,17.34,-32.04,12.86,1.24,1.57,,-0.072092
MUU,,2026-05-13,,,,,,,6.06,,0.298514
DTCR,3.0,2026-05-13,34.3,0.81,21.36,-24.96,0.5,0.22,2.14,1.6549,0.108422
SOXQ,3.0,2026-05-13,56.96,0.34,36.24,-39.69,0.19,0.45,2.25,0.8496,0.179139
CHAT,3.0,2026-05-20,47.81,0.0,29.81,-31.34,0.75,0.17,2.06,1.6098,0.180163
GSWO,3.0,2026-05-20,15.39,0.0,11.3,-10.26,,0.06,1.72,,0.0
DRAM,,2026-06-03,,,,,,,13.88,,0.0
SNXX,,2026-06-03,,,,,,,2.85,,0.0
XOVR,3.0,2026-06-03,20.01,0.0,23.4,-25.23,0.75,0.41,2.02,3.3741,0.0
AVIV,3.0,2026-06-03,18.3,2.87,14.95,-14.13,0.25,0.05,1.78,,0.0
